"ID"	"year"	"month"	"day"	"LON"	"LAT"	"strike"	"Imax"	"depth"	"MWHARVARD"	"K"	"MLH"	"MW"	"faultLength"	"F1.1"	"F1.2"	"F2.1"	"F2.2"
"B08"	1977	6	3	71.816667	40	128	6.5	15	5.3	14.2	5.524	5.77108	5.78156216950208	71.8433736829328	39.9840092555067	71.8433861920867	40.0159846119289
"C08"	1977	12	6	69.7	41.566667	270	7	15	NA	14	5.43	5.7081	5.23105155176437	69.668596454222	41.5666627278315	69.7314035457781	41.5666627278315
"B03"	1978	3	24	78.583333	42.883333	270	8	22	6.9	15.6	6.182	6.20018	11.4320522309688	78.5132565773526	42.8833116314618	78.6534094226473	42.8833116314618
"H10"	1978	11	1	72.6	39.4	200	8	30	6.6	16.2	6.464	6.47936	17.8138749776432	72.564623822582	39.3248076909835	72.6354525238733	39.4751815727173
"C03"	1979	4	6	77.433333	41.966667	121	5.5	25	5.3	13.5	5.195	5.55065	4.07331972238907	77.4544215775399	41.9572421376104	77.4544278168167	41.9760880019979
"D03"	1980	7	5	77.5	41.916667	250	6	20	5.4	13.8	5.336	5.64512	4.73295962837897	77.4731573117322	41.9093930651275	77.5268488051838	41.9239346820216
"D08"	1980	12	11	69.05	41.333333	270	7	10	NA	13.5	5.195	5.55065	4.07331972238907	69.0256344522528	41.3333304307713	69.0743655477472	41.3333304307713
"E08"	1982	5	6	71.5	40.166667	112	7.5	20	5.7	14.4	5.618	5.83406	6.39000797240151	71.5348181686827	40.1559101362931	71.5348292001914	40.1774134312592
"E03"	1982	12	31	77.366667	42.866667	274	6	15	5.3	13.6	5.242	5.58214	4.28229517950546	77.3404877408412	42.8680057301026	77.3928451211545	42.8653223058933
"A11"	1983	12	16	72.9	39.4	228	7	15	5.9	14.6	5.712	5.89704	7.06248600123093	72.869502278653	39.3787700875194	72.9305162879834	39.4212219454656
"F03"	1983	12	21	77.25	42.066667	250	6	20	NA	12.5	4.725	5.23575	2.46983249364757	77.2359586883113	42.0628719685539	77.2640429901523	42.070460319721
"G03"	1984	2	2	71.4	42.866667	250	6	15	NA	12.6	4.772	5.26724	2.59654348358632	71.3850485302281	42.8626771972072	71.414953402159	42.870654857137
"F08"	1984	2	17	71.016667	40.85	240	8	10	5.5	14.1	5.477	5.73959	5.49942267500836	70.9883922082897	40.8376460247458	71.0449523340969	40.8623470691165
