"ID"	"siteLAT"	"siteLON"	"eventLAT"	"eventLON"	"K"	"mag"	"depth"	"Is"	"I0"	"R"	"RExt"	"F11"	"F12"	"F21"	"F22"	"Length"	"MLH"	"MW"	"MWHARV"
"B02"	41.933333	74.533333	41.6	75.1	13	5.2	12	3.5	6.5	59.854163811115	63.0968777255232	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403	3.17181610554143	4.96	5.3932	NA
"B02"	41.883333	74.35	41.6	75.1	13	5.2	12	3.5	6.5	69.7470684692918	71.7991349367157	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403	3.17181610554143	4.96	5.3932	NA
"B02"	41.433333	75.983333	41.6	75.1	13	5.2	12	3.5	6.5	75.8437673611403	74.3567128698842	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403	3.17181610554143	4.96	5.3932	NA
"B02"	41.283333	74.966667	41.6	75.1	13	5.2	12	3	6.5	36.9240810050909	32.2738755226623	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403	3.17181610554143	4.96	5.3932	NA
"B02"	41.95	75.766667	41.6	75.1	13	5.2	12	3	6.5	67.6081800165262	67.3919766286075	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403	3.17181610554143	4.96	5.3932	NA
"B02"	41.883333	75.783333	41.6	75.1	13	5.2	12	3	6.5	64.860457303801	64.3589187555997	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403	3.17181610554143	4.96	5.3932	NA
"B02"	41.633333	75.85	41.6	75.1	13	5.2	12	3	6.5	62.4572823790176	60.9043154572218	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403	3.17181610554143	4.96	5.3932	NA
"B02"	41.75	75.733333	41.6	75.1	13	5.2	12	3	6.5	55.1821574283506	53.9025923737719	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403	3.17181610554143	4.96	5.3932	NA
"B02"	41.583333	75.883333	41.6	75.1	13	5.2	12	3	6.5	65.1697426138642	63.5746352225022	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403	3.17181610554143	4.96	5.3932	NA
"B02"	42.016667	74.983333	41.6	75.1	13	5.2	12	3	6.5	47.3295446700394	54.1485594239408	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403	3.17181610554143	4.96	5.3932	NA
"B02"	41.983333	74.75	41.6	75.1	13	5.2	12	3	6.5	51.5635717522439	56.8375697537042	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403	3.17181610554143	4.96	5.3932	NA
"B02"	41.966667	74.85	41.6	75.1	13	5.2	12	3	6.5	45.7382637853347	52.8226138804046	75.082125504584	41.5951148921146	75.1178771908339	41.6048823243403	3.17181610554143	4.96	5.3932	NA
"C02"	42.516667	78.366667	42.3	78.4	12.8	4.9	17	6	6	24.247205652475	45.1364818212708	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"C02"	42.516667	78.55	42.3	78.4	12.8	4.9	17	6	6	27.0573820628318	37.0197630215258	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"C02"	42.416667	78.233333	42.3	78.4	12.8	4.9	17	6	6	18.8635293246984	44.5392349454776	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"C02"	42.433333	78.133333	42.3	78.4	12.8	4.9	17	6	6	26.4533966043159	37.9499599245059	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"C02"	42.35	78.016667	42.3	78.4	12.8	4.9	17	5	6	32.0006637264735	37.3968301308561	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"C02"	42.616667	78.35	42.3	78.4	12.8	4.9	17	5	6	35.4498655715997	44.9224560790594	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"C02"	42.6	78.716667	42.3	78.4	12.8	4.9	17	5	6	42.2826752333355	44.3067799844523	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"C02"	42.616667	78.816667	42.3	78.4	12.8	4.9	17	5	6	49.0738912296526	49.9824184567973	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"C02"	42.233333	77.733333	42.3	78.4	12.8	4.9	17	5	6	55.3563125269513	56.4757341356769	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
"C02"	42.6	79.033333	42.3	78.4	12.8	4.9	17	4.5	6	61.7488171314577	61.7046005374454	78.3836494844091	42.2955806762217	78.4163528018212	42.3044169888506	2.86980111505619	4.866	5.33022	NA
