"ID"	"year"	"month"	"day"	"LON"	"LAT"	"strike"	"Imax"	"depth"	"MWHARVARD"	"K"	"MLH"	"MW"	"faultLength"	"F11"	"F12"	"F21"	"F22"
"B03"	1978	3	24	78.583333	42.883333	270	8	22	6.9	15.6	6.182	6.20018	11.4320522309688	78.5133651960194	42.8833116205705	78.6533008039806	42.8833116205705
"H10"	1978	11	1	72.6	39.4	200	8	30	6.6	16.2	6.464	6.47936	17.8138749776432	72.5646714648358	39.3246063952468	72.6354046758999	39.4753818745736
"C03"	1979	4	6	77.433333	41.966667	121	5.5	25	5.3	13.5	5.195	5.55065	4.07331972238907	77.4543900212573	41.9572211744851	77.4543962418728	41.9761089467392
"D03"	1980	7	5	77.5	41.916667	250	6	20	5.4	13.8	5.336	5.64512	4.73295962837897	77.4731974015779	41.9093768262843	77.5268086970783	41.9239509069859
"D08"	1980	12	11	69.05	41.333333	270	7	10	NA	13.5	5.195	5.55065	4.07331972238907	69.0256700208198	41.3333304285327	69.0743299791802	41.3333304285327
"E08"	1982	5	6	71.5	40.166667	112	7.5	20	5.7	14.4	5.618	5.83406	6.39000797240151	71.5347696993573	40.1558828345904	71.5347807001692	40.1774407009187
"E03"	1982	12	31	77.366667	42.866667	274	6	15	5.3	13.6	5.242	5.58214	4.28229517950546	77.3405282942101	42.8680085001403	77.3928045713085	42.8653195324757
"A11"	1983	12	16	72.9	39.4	228	7	15	5.9	14.6	5.712	5.89704	7.06248600123093	72.8695433826742	39.3787133559582	72.9304751339335	39.4212785884373
"F03"	1983	12	21	77.25	42.066667	250	6	20	NA	12.5	4.725	5.23575	2.46983249364757	77.2359797828392	42.0628635960005	77.2640218905849	42.0704686885469
"G03"	1984	2	2	71.4	42.866667	250	6	15	NA	12.6	4.772	5.26724	2.59654348358632	71.3850716890279	42.8626689551282	71.4149302373772	42.8706630954159
"F08"	1984	2	17	71.016667	40.85	240	8	10	5.5	14.1	5.477	5.73959	5.49942267500836	70.9884326839063	40.8376161333859	71.0449118283132	40.8623769270256
"B11"	1984	10	26	71.233333	39.2	37	7.5	15	6.1	14.8	5.806	5.96002	7.80573494321281	71.2605347274436	39.2280726733871	71.2605130814575	39.1719208451196
"G08"	1985	4	27	71.116667	40.85	103	7.5	15	5.5	12.8	4.866	5.33022	2.86980111505619	71.1332463357155	40.8470921940896	71.1332477847381	40.8529054214731
"C11"	1985	8	23	75.483333	39.433333	308	7	20	5	16.5	6.605	6.61895	22.236964359459	75.3814785563619	39.4949435588234	75.5850080496434	39.371632756337
"A09"	1985	10	13	69.8	40.3	48	8	10	5.8	14.8	5.806	5.96002	7.80573494321281	69.8341265185091	40.3235136393004	69.8341028598197	40.2764762057137
"B09"	1987	3	26	69.95	41.816667	203	6.5	5	5.2	13.1	5.007	5.42469	3.33454129426193	69.942161161873	41.8028489925604	69.9578422087338	41.8304844389373
"H03"	1988	3	13	75.466667	42.1	250	6	7	NA	12.6	4.772	5.26724	2.59654348358632	75.4519198262498	42.0960014441063	75.481416026414	42.1039966577075
"A04"	1988	6	17	77.4	42.933333	29	6	21	5.6	12.9	4.913	5.36171	3.0170318852203	77.4089610675499	42.9452091397843	77.4089576244566	42.9214561342938
"C09"	1988	12	21	72.316667	41.233333	270	6	10	NA	12.9	4.913	5.36171	3.0170318852203	72.2986737278739	41.233331594195	72.3346602721261	41.233331594195
"B04"	1990	11	12	77.933333	42.933333	211	8	15	6.3	15.3	6.041	6.11747	10.0243056450786	77.9017286262253	42.8946553754259	77.9649769479825	42.9720016261686
"D09"	1992	5	15	72.416667	41.1	270	8	10	NA	15.3	6.041	6.11747	10.0243056450786	72.357004131191	41.0999845528721	72.476329868809	41.0999845528721
"C04"	1992	8	19	73.633333	42.066667	250	9.5	25	7.2	17	6.84	6.8516	32.18133083058	73.4507841710726	42.0169752622865	73.8161659324995	42.1160674973886
